site,name,url
gearvn,"Laptop gaming ASUS ROG Zephyrus GU605CP-QR115W (Ultra 7-255H/ RTX 5070/ 16GB/ 512GB/ 16"" 2.5K OLED 240Hz/ Win 11) 16 GB 512 GB 16 inch 2K+ (2560x1600) 240 Hz 74.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-gu605cp-qr115w-ultra-7-255h-rtx-5070-16gb-512gb-16-2-5k-oled-240hz-win-11
gearvn,"Laptop gaming ASUS ROG Strix SCAR G835LXG-TQ473W (Ultra 9-290HX Plus/ RTX 5090/ 64GB/ 2TB/ 18"" QHD Mini LED 240Hz/ Win 11) 179.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-gaming-asus-rog-strix-scar-g835lxg-tq473w-ultra-9-290hx-plus-rtx-5090-64gb-2tb-18-qhd-mini-led-240hz-win-11
gearvn,"Laptop gaming ASUS ROG Strix G G614PH-RV176W (Ryzen 9/ RTX 5050/ 16GB/ 512GB/ 16"" FHD/ Win 11) 16 GB 512 GB 16 inch WUXGA (1920x1200) 165 Hz 49.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-gaming-asus-rog-strix-g-g614ph-rv176w-ryzen-9-rtx-5050-16gb-512gb-16-fhd-win-11
gearvn,"Laptop ASUS Zenbook S 14 UX5406AA-SU348W (Ultra 9/ 16GB/ 512GB/ 14"" 3K OLED Touch) 16 GB 512 GB Intel Graphics 14 inch 120 Hz 50.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-zenbook-s-14-ux5406aa-su348w-ultra-9-16gb-512gb-14-3k-oled-touch
gearvn,"Laptop ASUS Zenbook S 15 UM5606GA-SS441W (Ryzen AI 9 465/ 16GB/ 512GB/ 15"" 3K OLED) 16 GB 512 GB AMD Radeon Graphics 16 inch 120 Hz 49.490.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-zenbook-s-15-um5606ga-ss441w-ryzen-ai-9-465-16gb-512gb-15-3k-oled
gearvn,"Laptop ASUS Zenbook Pro Art HN7306EA-LX050W (Ryzen AI Max+ 395/ 32GB/ 1TB/ 13.3"" 3K OLED Touch) 32 GB 1 GB AMD Radeon Graphics 13.3 inch 60 Hz 76.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-zenbook-pro-art-hn7306ea-lx050w-ryzen-ai-max-395-32gb-1tb-13-3-3k-oled-touch
gearvn,"Laptop ASUS Zenbook Duo 14 UX8407AA-SN439WS (Ultra X7/ 32GB/ 512GB/ 14"" 3K OLED Touch 144Hz) 32 GB 512 GB Intel Arc Graphics 14 inch 144 Hz 82.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-zenbook-duo-14-ux8407aa-sn439ws-ultra-x7-32gb-512gb-14-3k-oled-touch-144hz
gearvn,"Laptop ASUS Zenbook Duo 14 UX8407AA-SN138WS (Ultra X9/ 32GB/ 1TB/ 14"" 3K OLED Touch 144Hz) 32 GB 1 GB Intel Arc Graphics 14 inch 144 Hz 89.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-zenbook-duo-14-ux8407aa-sn138ws-ultra-x9-32gb-1tb-14-3k-oled-touch-144hz
gearvn,"Laptop ASUS Zenbook A16 UX3607OA-SQ137WS (Snapdragon X2 Elite Extreme X2E94100/ 24GB/ 512GB/ 16"" 3K OLED/ Win 11) 24 GB 512 GB Qualcomm Adreno GPU 16 inch 120 Hz 58.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-zenbook-16-ux3607oa-sq137ws-24gb-512gb-16-3k-oled
gearvn,"Laptop ASUS Zenbook A14 UX3407NA-QD254W (Snapdragon X2 Elite X2E-88-100/ 32GB/ 1TB/ 14"" FHD OLED/ Win 11) 32 GB 1 GB Qualcomm Adreno GPU 14 inch 60 Hz 63.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-zenbook-14-ux3407na-qd254w-32gb-1tb-14-fhd-oled
gearvn,"Laptop ASUS Zenbook 14 UX3407NA-QD132WS (Snapdragon X2 Elite X2E-88-100/ 16GB/ 512GB/ 14"" FHD OLED) 16 GB 512 GB Qualcomm Adreno GPU 14 inch 60 Hz 48.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-zenbook-14-ux3407na-qd132ws-16gb-512gb-14-fhd-oled
